id,name,key,code,alt_names,country_id,state_id,part_id,county_id,pop,area,created_at,updated_at
57,Dhaka,dhaka,,,69,,,,,,"2017-12-28 04:32:13.540710","2017-12-28 04:32:13.540710"
58,Kathmandu,kathmandu,,,70,,,,,,"2017-12-28 04:32:13.550806","2017-12-28 04:32:13.550806"
59,Colombo,colombo,,,71,,,,,,"2017-12-28 04:32:13.559503","2017-12-28 04:32:13.559503"
60,Thimphu,thimphu,,,72,,,,,,"2017-12-28 04:32:13.569160","2017-12-28 04:32:13.569160"
61,"Malé",male,,,73,,,,,,"2017-12-28 04:32:13.577295","2017-12-28 04:32:13.577295"
62,Kabul,kabul,,,74,,,,,,"2017-12-28 04:32:13.586625","2017-12-28 04:32:13.586625"
63,Jakarta,jakarta,,,75,,,,,,"2017-12-28 04:32:13.594352","2017-12-28 04:32:13.594352"
64,"Kuala Lumpur",kualalumpur,,,76,,,,,,"2017-12-28 04:32:13.607176","2017-12-28 04:32:13.607176"
65,Singapore,singapore,,,77,,,,,,"2017-12-28 04:32:13.617824","2017-12-28 04:32:13.617824"
66,Bangkok,bangkok,,,78,,,,,,"2017-12-28 04:32:13.626454","2017-12-28 04:32:13.626454"
67,Manila,manila,,,79,,,,,,"2017-12-28 04:32:13.635721","2017-12-28 04:32:13.635721"
68,Hanoi,hanoi,,,80,,,,,,"2017-12-28 04:32:13.644513","2017-12-28 04:32:13.644513"
69,"Bandar Seri Begawan",bandarseribegawan,,,81,,,,,,"2017-12-28 04:32:13.654240","2017-12-28 04:32:13.654240"
70,Naypyidaw,naypyidaw,,,82,,,,,,"2017-12-28 04:32:13.662437","2017-12-28 04:32:13.662437"
71,"Phnom Penh",phnompenh,,,83,,,,,,"2017-12-28 04:32:13.671809","2017-12-28 04:32:13.671809"
72,Dili,dili,,,84,,,,,,"2017-12-28 04:32:13.682985","2017-12-28 04:32:13.682985"
73,Vientiane,vientiane,,,85,,,,,,"2017-12-28 04:32:13.691134","2017-12-28 04:32:13.691134"
74,Port-au-Prince,portauprince,,,89,,,,,,"2017-12-28 04:32:13.719109","2017-12-28 04:32:13.719109"
75,"Saint John's",saintjohns,,,90,,,,,,"2017-12-28 04:32:13.727474","2017-12-28 04:32:13.727474"
