id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
32,"no country match found for >Svalbard (NO)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.109932","2017-12-28 04:32:17.109932"
33,"no country match found for >South Georgia and South Sandwich Islands (UK)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.115166","2017-12-28 04:32:17.115166"
34,"no country match found for >Saint Barthelemy (FR)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.123415","2017-12-28 04:32:17.123415"
35,"no country match found for >Tromelin Island (FR)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.128902","2017-12-28 04:32:17.128902"
36,"no country match found for >Sao Tome and Principe<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.152109","2017-12-28 04:32:17.152109"
37,"no country match found for >West Bank<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.217576","2017-12-28 04:32:17.217576"
38,"no country match found for >Western Sahara (MA)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.222627","2017-12-28 04:32:17.222627"
39,"no country match found for >Wake Island (US)<; skipping line; in [1-codes/fips]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.225143","2017-12-28 04:32:17.225143"
40,"no country match found for >Ascension Island<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.240922","2017-12-28 04:32:17.240922"
41,"no country match found for >Netherlands Antilles (NL)<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.266021","2017-12-28 04:32:17.266021"
42,"no country match found for >Cocos (Keeling) Islands (AU)<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.344993","2017-12-28 04:32:17.344993"
43,"no country match found for >French Polynesia<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.692693","2017-12-28 04:32:17.692693"
44,"no country match found for >Saint-Pierre and Miquelon<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.705628","2017-12-28 04:32:17.705628"
45,"no country match found for >Svalbard and Jan Mayen Islands<; skipping line; in [1-codes/internet]",warn,,,14013,10252500,"2017-12-28 04:32:17 +0000","2017-12-28 04:32:17.764099","2017-12-28 04:32:17.764099"
46,"no country match found for >Bonaire<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:18 +0000","2017-12-28 04:32:18.502130","2017-12-28 04:32:18.502130"
47,"no country match found for >Cabo Verde<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:18 +0000","2017-12-28 04:32:18.544442","2017-12-28 04:32:18.544442"
48,"no country match found for >Cocos (Keeling) Islands (AU)<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:18 +0000","2017-12-28 04:32:18.566227","2017-12-28 04:32:18.566227"
49,"no country match found for >French Polynesia (FR)<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:18 +0000","2017-12-28 04:32:18.647745","2017-12-28 04:32:18.647745"
50,"no country match found for >Sao Tome and Principe<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:18 +0000","2017-12-28 04:32:18.957629","2017-12-28 04:32:18.957629"
51,"no country match found for >Svalbard and Jan Mayen<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.014445","2017-12-28 04:32:19.014445"
52,"no country match found for >United States Minor Outlying Islands (US)<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.086494","2017-12-28 04:32:19.086494"
53,"no country match found for >Western Sahara<; skipping line; in [1-codes/iso]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.111140","2017-12-28 04:32:19.111140"
54,"no country match found for >Burma<; skipping line; in [1-codes/motor]",warn,,,14013,10252500,"2017-12-28 04:32:19 +0000","2017-12-28 04:32:19.193524","2017-12-28 04:32:19.193524"
