id,name,place_id,place_kind,lang,created_at,updated_at
56,"New Delhi",134,CITY,en,"2017-12-28 04:32:13.533600","2017-12-28 04:32:13.533600"
57,Dhaka,136,CITY,en,"2017-12-28 04:32:13.541788","2017-12-28 04:32:13.541788"
58,Kathmandu,138,CITY,en,"2017-12-28 04:32:13.552076","2017-12-28 04:32:13.552076"
59,Colombo,140,CITY,en,"2017-12-28 04:32:13.560644","2017-12-28 04:32:13.560644"
60,Thimphu,142,CITY,en,"2017-12-28 04:32:13.570173","2017-12-28 04:32:13.570173"
61,"Malé",144,CITY,en,"2017-12-28 04:32:13.578545","2017-12-28 04:32:13.578545"
62,Kabul,146,CITY,en,"2017-12-28 04:32:13.587718","2017-12-28 04:32:13.587718"
63,Jakarta,148,CITY,en,"2017-12-28 04:32:13.595364","2017-12-28 04:32:13.595364"
64,"Kuala Lumpur",150,CITY,en,"2017-12-28 04:32:13.608264","2017-12-28 04:32:13.608264"
65,Singapore,152,CITY,en,"2017-12-28 04:32:13.619142","2017-12-28 04:32:13.619142"
66,Bangkok,154,CITY,en,"2017-12-28 04:32:13.627599","2017-12-28 04:32:13.627599"
67,Manila,156,CITY,en,"2017-12-28 04:32:13.636806","2017-12-28 04:32:13.636806"
68,Hanoi,158,CITY,en,"2017-12-28 04:32:13.645794","2017-12-28 04:32:13.645794"
69,"Bandar Seri Begawan",160,CITY,en,"2017-12-28 04:32:13.655319","2017-12-28 04:32:13.655319"
70,Naypyidaw,162,CITY,en,"2017-12-28 04:32:13.663770","2017-12-28 04:32:13.663770"
71,"Phnom Penh",164,CITY,en,"2017-12-28 04:32:13.672865","2017-12-28 04:32:13.672865"
72,Dili,166,CITY,en,"2017-12-28 04:32:13.684206","2017-12-28 04:32:13.684206"
73,Vientiane,168,CITY,en,"2017-12-28 04:32:13.692274","2017-12-28 04:32:13.692274"
74,Port-au-Prince,173,CITY,en,"2017-12-28 04:32:13.720182","2017-12-28 04:32:13.720182"
75,"Saint John's",175,CITY,en,"2017-12-28 04:32:13.728679","2017-12-28 04:32:13.728679"
76,Nassau,177,CITY,en,"2017-12-28 04:32:13.736926","2017-12-28 04:32:13.736926"
77,Bridgetown,179,CITY,en,"2017-12-28 04:32:13.746488","2017-12-28 04:32:13.746488"
78,Roseau,181,CITY,en,"2017-12-28 04:32:13.755826","2017-12-28 04:32:13.755826"
79,"St. George's",183,CITY,en,"2017-12-28 04:32:13.765898","2017-12-28 04:32:13.765898"
80,Basseterre,185,CITY,en,"2017-12-28 04:32:13.774164","2017-12-28 04:32:13.774164"
81,Castries,187,CITY,en,"2017-12-28 04:32:13.784994","2017-12-28 04:32:13.784994"
82,Kingstown,189,CITY,en,"2017-12-28 04:32:13.793159","2017-12-28 04:32:13.793159"
83,"Port of Spain",191,CITY,en,"2017-12-28 04:32:13.802257","2017-12-28 04:32:13.802257"
84,Belmopan,193,CITY,en,"2017-12-28 04:32:13.811933","2017-12-28 04:32:13.811933"
85,"Guatemala City",195,CITY,en,"2017-12-28 04:32:13.822681","2017-12-28 04:32:13.822681"
86,"San José",197,CITY,en,"2017-12-28 04:32:13.831732","2017-12-28 04:32:13.831732"
87,Tegucigalpa,199,CITY,en,"2017-12-28 04:32:13.840606","2017-12-28 04:32:13.840606"
88,"San Salvador",201,CITY,en,"2017-12-28 04:32:13.851231","2017-12-28 04:32:13.851231"
89,Managua,203,CITY,en,"2017-12-28 04:32:13.859327","2017-12-28 04:32:13.859327"
90,"Panama City",205,CITY,en,"2017-12-28 04:32:13.868170","2017-12-28 04:32:13.868170"
