id,name,place_id,place_kind,lang,created_at,updated_at
270,Donetsk,530,CITY,en,"2017-12-28 04:32:20.478565","2017-12-28 04:32:20.478565"
271,Kharkiv,531,CITY,en,"2017-12-28 04:32:20.485250","2017-12-28 04:32:20.485250"
272,Lviv,532,CITY,en,"2017-12-28 04:32:20.490918","2017-12-28 04:32:20.490918"
273,Montreal,533,CITY,en,"2017-12-28 04:32:20.499032","2017-12-28 04:32:20.499032"
274,Quebec,533,CITY,en,"2017-12-28 04:32:20.499871","2017-12-28 04:32:20.499871"
275,Pasadena,534,CITY,en,"2017-12-28 04:32:20.539175","2017-12-28 04:32:20.539175"
276,Carson,535,CITY,en,"2017-12-28 04:32:20.544803","2017-12-28 04:32:20.544803"
277,Seattle,536,CITY,en,"2017-12-28 04:32:20.551682","2017-12-28 04:32:20.551682"
278,Denver,537,CITY,en,"2017-12-28 04:32:20.557125","2017-12-28 04:32:20.557125"
279,"Commerce City",538,CITY,en,"2017-12-28 04:32:20.564639","2017-12-28 04:32:20.564639"
280,Harrison,539,CITY,en,"2017-12-28 04:32:20.570295","2017-12-28 04:32:20.570295"
281,Baltimore,540,CITY,en,"2017-12-28 04:32:20.578867","2017-12-28 04:32:20.578867"
282,"Miami (Miami Gardens)",541,CITY,en,"2017-12-28 04:32:20.591543","2017-12-28 04:32:20.591543"
283,"Salt Lake City (Sandy)",542,CITY,en,"2017-12-28 04:32:20.606182","2017-12-28 04:32:20.606182"
284,"Lanús",543,CITY,en,"2017-12-28 04:32:20.625452","2017-12-28 04:32:20.625452"
285,Rosario,544,CITY,en,"2017-12-28 04:32:20.633513","2017-12-28 04:32:20.633513"
286,"Sarandí",545,CITY,en,"2017-12-28 04:32:20.639001","2017-12-28 04:32:20.639001"
287,"Rio de Janeiro",546,CITY,en,"2017-12-28 04:32:20.651807","2017-12-28 04:32:20.651807"
288,"São Paulo",547,CITY,en,"2017-12-28 04:32:20.663421","2017-12-28 04:32:20.663421"
289,Fortaleza,548,CITY,en,"2017-12-28 04:32:20.670152","2017-12-28 04:32:20.670152"
290,"Belo Horizonte",549,CITY,en,"2017-12-28 04:32:20.675843","2017-12-28 04:32:20.675843"
291,Salvador,550,CITY,en,"2017-12-28 04:32:20.688408","2017-12-28 04:32:20.688408"
292,"Cuiabá",551,CITY,en,"2017-12-28 04:32:20.695628","2017-12-28 04:32:20.695628"
293,Manaus,552,CITY,en,"2017-12-28 04:32:20.702740","2017-12-28 04:32:20.702740"
294,Natal,553,CITY,en,"2017-12-28 04:32:20.708231","2017-12-28 04:32:20.708231"
295,"Porto Alegre",554,CITY,en,"2017-12-28 04:32:20.714711","2017-12-28 04:32:20.714711"
296,Recife,555,CITY,en,"2017-12-28 04:32:20.725894","2017-12-28 04:32:20.725894"
297,Curitiba,556,CITY,en,"2017-12-28 04:32:20.733973","2017-12-28 04:32:20.733973"
298,"Santiago de Chile",557,CITY,en,"2017-12-28 04:32:20.745809","2017-12-28 04:32:20.745809"
299,Cali,558,CITY,en,"2017-12-28 04:32:20.762975","2017-12-28 04:32:20.762975"
300,"Medellín",559,CITY,en,"2017-12-28 04:32:20.778456","2017-12-28 04:32:20.778456"
301,"Sangolquí",560,CITY,en,"2017-12-28 04:32:20.785061","2017-12-28 04:32:20.785061"
302,Guayaquil,561,CITY,en,"2017-12-28 04:32:20.790761","2017-12-28 04:32:20.790761"
303,Huancayo,562,CITY,en,"2017-12-28 04:32:20.804327","2017-12-28 04:32:20.804327"
304,Barinas,563,CITY,en,"2017-12-28 04:32:20.838577","2017-12-28 04:32:20.838577"
305,"Puerto La Cruz",564,CITY,en,"2017-12-28 04:32:20.844565","2017-12-28 04:32:20.844565"
